ENA.Accession.Number,Isolate,Lane.accession,Sequecning Status,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS357532,11658_8#86,ERR435089,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357536,11658_8#87,ERR435090,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357548,11658_8#88,ERR435091,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357549,11658_8#89,ERR435092,Previously sequenced,2004,S,S,,R,R,S,S,,S,,,S
ERS357551,11658_8#90,ERR435093,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357562,11658_8#91,ERR435094,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS357571,11658_8#92,ERR435095,Previously sequenced,2005,S,S,,R,R,S,S,,R,,,R
ERS357912,11658_8#93,ERR435096,Previously sequenced,2009,R,R,,R,S,S,R,,S,,,R
ERS357926,11658_8#94,ERR435097,Previously sequenced,2009,S,S,,R,S,S,R,,S,,,I
ERS358020,11658_8#95,ERR435098,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358021,11658_8#96,ERR435099,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357011,11679_4#10,ERR435109,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,R,S
ERS357021,11679_4#11,ERR435110,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,R,S
ERS357030,11679_4#12,ERR435111,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357112,11679_4#13,ERR435112,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,S
ERS357119,11679_4#14,ERR435113,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357121,11679_4#15,ERR435114,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357138,11679_4#16,ERR435115,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS357179,11679_4#17,ERR435116,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357181,11679_4#18,ERR435117,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357182,11679_4#19,ERR435118,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS356793,11679_4#1,ERR435100,Previously sequenced,2007,I,R,R,,R,S,R,R,S,S,R,R
ERS357189,11679_4#20,ERR435119,Previously sequenced,2001,S,,,R,R,I,R,,S,,,R
ERS357193,11679_4#21,ERR435120,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357263,11679_4#22,ERR435121,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357271,11679_4#23,ERR435122,Previously sequenced,2002,S,S,,R,R,R,S,,S,,,R
ERS357286,11679_4#24,ERR435123,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357299,11679_4#25,ERR435124,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357342,11679_4#26,ERR435125,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357362,11679_4#27,ERR435126,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,R
ERS357392,11679_4#28,ERR435127,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357486,11679_4#29,ERR435128,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS356930,11679_4#2,ERR435101,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357506,11679_4#30,ERR435129,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357555,11679_4#31,ERR435130,Previously sequenced,2004,I,S,,R,R,R,S,,S,,,S
ERS357579,11679_4#32,ERR435131,Previously sequenced,2005,S,S,,R,S,S,S,,R,,,R
ERS357592,11679_4#33,ERR435132,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357595,11679_4#34,ERR435133,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,R
ERS357601,11679_4#35,ERR435134,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,R
ERS357610,11679_4#36,ERR435135,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS357618,11679_4#37,ERR435136,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357635,11679_4#38,ERR435137,Previously sequenced,2005,I,R,,R,S,S,R,,S,,,S
ERS357646,11679_4#39,ERR435138,Previously sequenced,2006,S,S,,R,R,S,R,,R,,,R
ERS356939,11679_4#3,ERR435102,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357648,11679_4#40,ERR435139,Previously sequenced,2006,S,S,,R,R,S,S,,I,,,R
ERS357649,11679_4#41,ERR435140,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS357650,11679_4#42,ERR435141,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357657,11679_4#43,ERR435142,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357669,11679_4#44,ERR435143,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS357676,11679_4#45,ERR435144,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357684,11679_4#46,ERR435145,Previously sequenced,2007,S,S,,R,R,R,S,,R,,,S
ERS357687,11679_4#47,ERR435146,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357690,11679_4#48,ERR435147,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357701,11679_4#49,ERR435148,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS356958,11679_4#4,ERR435103,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,S,R
ERS357716,11679_4#50,ERR435149,Previously sequenced,2007,S,S,,R,S,S,R,,S,,,R
ERS357740,11679_4#52,ERR435151,Previously sequenced,2008,R,R,,R,R,I,R,,S,,,R
ERS357754,11679_4#53,ERR435152,Previously sequenced,2007,S,S,,R,R,S,R,,S,,,R
ERS357756,11679_4#54,ERR435153,Previously sequenced,2008,R,R,,R,R,S,R,,R,,,R
ERS357767,11679_4#55,ERR435154,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357772,11679_4#56,ERR435155,Previously sequenced,2006,R,R,,R,R,I,R,,S,,,R
ERS357808,11679_4#57,ERR435156,Previously sequenced,2006,S,S,,R,R,S,R,,S,,,S
ERS357827,11679_4#58,ERR435157,Previously sequenced,2006,S,S,,R,R,R,S,,S,,,S
ERS357835,11679_4#59,ERR435158,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS356963,11679_4#5,ERR435104,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,R,R
ERS357836,11679_4#60,ERR435159,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357837,11679_4#61,ERR435160,Previously sequenced,2006,R,R,,R,R,I,R,,R,,,R
ERS357838,11679_4#62,ERR435161,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357860,11679_4#63,ERR435162,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357875,11679_4#64,ERR435163,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,R
ERS357883,11679_4#65,ERR435164,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357887,11679_4#66,ERR435165,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,R
ERS357893,11679_4#67,ERR435166,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357923,11679_4#68,ERR435167,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357924,11679_4#69,ERR435168,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS356973,11679_4#6,ERR435105,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,S
ERS357942,11679_4#70,ERR435169,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357944,11679_4#71,ERR435170,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS357967,11679_4#72,ERR435171,Previously sequenced,2009,S,S,,R,S,S,R,,S,,,S
ERS357985,11679_4#73,ERR435172,Previously sequenced,2010,S,S,,R,R,R,S,,S,,,S
ERS358008,11679_4#74,ERR435173,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS358023,11679_4#75,ERR435174,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS358031,11679_4#76,ERR435175,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358037,11679_4#77,ERR435176,Previously sequenced,2010,S,S,,R,R,R,S,,S,,,S
ERS358041,11679_4#78,ERR435177,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358075,11679_4#79,ERR435178,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS356977,11679_4#7,ERR435106,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS358078,11679_4#80,ERR435179,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358110,11679_4#81,ERR435180,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358114,11679_4#82,ERR435181,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358121,11679_4#83,ERR435182,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358126,11679_4#84,ERR435183,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358135,11679_4#85,ERR435184,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS358158,11679_4#86,ERR435185,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS358163,11679_4#87,ERR435186,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS358175,11679_4#88,ERR435187,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS358196,11679_4#89,ERR435188,Previously sequenced,2011,R,R,,R,R,S,R,,S,,,R
ERS356998,11679_4#8,ERR435107,Previously sequenced,2011,R,R,R,,R,R,R,R,S,R,R,R
ERS358199,11679_4#90,ERR435189,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358204,11679_4#91,ERR435190,Previously sequenced,2004,S,S,,R,S,I,R,,R,,,R
ERS358206,11679_4#92,ERR435191,Previously sequenced,2007,R,R,,R,R,S,R,,R,,,R
ERS358211,11679_4#93,ERR435192,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS358236,11679_4#94,ERR435193,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS358245,11679_4#95,ERR435194,Previously sequenced,2011,R,R,,R,R,S,R,,R,,,R
ERS358261,11679_4#96,ERR435195,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357001,11679_4#9,ERR435108,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,S,S
ERS357132,11679_5#10,ERR435205,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS357139,11679_5#11,ERR435206,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,S,S
ERS357140,11679_5#12,ERR435207,Previously sequenced,2012,S,S,R,,R,R,S,I,S,S,R,S
ERS357146,11679_5#13,ERR435208,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,S,S
ERS357159,11679_5#14,ERR435209,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357197,11679_5#15,ERR435210,Previously sequenced,2001,S,,,S,S,S,S,,R,,,R
ERS357198,11679_5#16,ERR435211,Previously sequenced,2001,S,,,R,S,S,R,,S,,,S
ERS357270,11679_5#17,ERR435212,Previously sequenced,2002,S,S,,R,R,R,R,,S,,,S
ERS357297,11679_5#18,ERR435213,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357310,11679_5#19,ERR435214,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS356837,11679_5#1,ERR435196,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,S,S
ERS357313,11679_5#20,ERR435215,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357316,11679_5#21,ERR435216,Previously sequenced,2002,R,R,,R,R,S,R,,I,,,S
ERS357323,11679_5#22,ERR435217,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357324,11679_5#23,ERR435218,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357350,11679_5#24,ERR435219,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357367,11679_5#25,ERR435220,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357371,11679_5#26,ERR435221,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357373,11679_5#27,ERR435222,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357406,11679_5#28,ERR435223,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357458,11679_5#29,ERR435224,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS356945,11679_5#2,ERR435197,Previously sequenced,2010,S,S,R,,R,S,R,I,S,S,R,R
ERS357464,11679_5#30,ERR435225,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357577,11679_5#31,ERR435226,Previously sequenced,2005,S,S,,R,R,S,R,,S,,,S
ERS357583,11679_5#32,ERR435227,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357599,11679_5#33,ERR435228,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,R
ERS357605,11679_5#34,ERR435229,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357613,11679_5#35,ERR435230,Previously sequenced,2005,I,S,,R,R,I,R,,S,,,R
ERS357658,11679_5#36,ERR435231,Previously sequenced,2006,R,R,,R,R,S,R,,R,,,R
ERS357672,11679_5#37,ERR435232,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357680,11679_5#38,ERR435233,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357694,11679_5#39,ERR435234,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS356964,11679_5#3,ERR435198,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357703,11679_5#40,ERR435235,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357705,11679_5#41,ERR435236,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357712,11679_5#42,ERR435237,Previously sequenced,2007,R,R,,R,R,I,R,,R,,,R
ERS357715,11679_5#43,ERR435238,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357720,11679_5#44,ERR435239,Previously sequenced,2007,S,R,,R,R,S,R,,S,,,R
ERS357751,11679_5#45,ERR435240,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357760,11679_5#46,ERR435241,Previously sequenced,2008,S,S,,S,S,S,R,,S,,,S
ERS357765,11679_5#47,ERR435242,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357773,11679_5#48,ERR435243,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357792,11679_5#49,ERR435244,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS356988,11679_5#4,ERR435199,Previously sequenced,2011,S,S,R,,S,S,S,S,R,R,R,R
ERS357799,11679_5#50,ERR435245,Previously sequenced,2006,S,S,,R,R,R,S,,S,,,S
ERS357816,11679_5#51,ERR435246,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS357818,11679_5#52,ERR435247,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS357820,11679_5#53,ERR435248,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357821,11679_5#54,ERR435249,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357823,11679_5#55,ERR435250,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357834,11679_5#56,ERR435251,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357853,11679_5#57,ERR435252,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357866,11679_5#58,ERR435253,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357876,11679_5#59,ERR435254,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357000,11679_5#5,ERR435200,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,S,S
ERS357895,11679_5#60,ERR435255,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357900,11679_5#61,ERR435256,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357901,11679_5#62,ERR435257,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357905,11679_5#63,ERR435258,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357931,11679_5#64,ERR435259,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357943,11679_5#65,ERR435260,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357966,11679_5#66,ERR435261,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS357970,11679_5#67,ERR435262,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357986,11679_5#68,ERR435263,Previously sequenced,2010,R,R,,R,R,S,R,,R,,,R
ERS357998,11679_5#69,ERR435264,Previously sequenced,2010,S,S,,S,R,S,S,,S,,,S
ERS357091,11679_5#6,ERR435201,Previously sequenced,2012,S,S,R,,R,S,S,I,S,S,R,S
ERS358006,11679_5#70,ERR435265,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358014,11679_5#71,ERR435266,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358015,11679_5#72,ERR435267,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358038,11679_5#73,ERR435268,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358040,11679_5#74,ERR435269,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358047,11679_5#75,ERR435270,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358070,11679_5#76,ERR435271,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,R
ERS358087,11679_5#77,ERR435272,Previously sequenced,2011,S,S,,R,R,S,S,,S,,,S
ERS358119,11679_5#78,ERR435273,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358125,11679_5#79,ERR435274,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS357111,11679_5#7,ERR435202,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS358139,11679_5#80,ERR435275,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS358143,11679_5#81,ERR435276,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS358149,11679_5#82,ERR435277,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS358155,11679_5#83,ERR435278,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS358192,11679_5#84,ERR435279,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358193,11679_5#85,ERR435280,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358198,11679_5#86,ERR435281,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358203,11679_5#87,ERR435282,Previously sequenced,2004,S,S,,S,S,R,S,,S,,,S
ERS358209,11679_5#88,ERR435283,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS358226,11679_5#89,ERR435284,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357116,11679_5#8,ERR435203,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS358227,11679_5#90,ERR435285,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS358232,11679_5#91,ERR435286,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358234,11679_5#92,ERR435287,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,R
ERS358239,11679_5#93,ERR435288,Previously sequenced,2009,S,S,,S,S,S,R,,S,,,S
ERS358241,11679_5#94,ERR435289,Previously sequenced,2011,R,R,,R,R,S,R,,R,,,R
ERS358248,11679_5#95,ERR435290,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358263,11679_5#96,ERR435291,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357124,11679_5#9,ERR435204,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357012,11679_6#10,ERR435301,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,R,S
ERS357014,11679_6#11,ERR435302,Previously sequenced,2011,S,R,R,,S,S,R,R,S,S,S,S
ERS357032,11679_6#12,ERR435303,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,R,S
ERS357059,11679_6#13,ERR435304,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS357114,11679_6#14,ERR435305,Previously sequenced,2012,S,S,R,,S,S,S,S,R,R,R,R
ERS357122,11679_6#15,ERR435306,Previously sequenced,2012,S,S,R,,R,S,S,R,S,S,R,S
ERS357158,11679_6#18,ERR435309,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357163,11679_6#19,ERR435310,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS356901,11679_6#1,ERR435292,Previously sequenced,2009,S,S,R,,R,R,S,I,S,S,R,S
ERS357178,11679_6#20,ERR435311,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357183,11679_6#21,ERR435312,Previously sequenced,2001,S,,,S,S,S,R,,R,,,R
ERS357278,11679_6#22,ERR435313,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357287,11679_6#23,ERR435314,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357302,11679_6#24,ERR435315,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357303,11679_6#25,ERR435316,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357309,11679_6#26,ERR435317,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357335,11679_6#27,ERR435318,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357343,11679_6#28,ERR435319,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357348,11679_6#29,ERR435320,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS356943,11679_6#2,ERR435293,Previously sequenced,2010,S,S,S,,S,S,S,I,S,S,S,S
ERS357358,11679_6#30,ERR435321,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357359,11679_6#31,ERR435322,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357366,11679_6#32,ERR435323,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357368,11679_6#33,ERR435324,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357374,11679_6#34,ERR435325,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357382,11679_6#35,ERR435326,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357420,11679_6#36,ERR435327,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357434,11679_6#37,ERR435328,Previously sequenced,2004,S,S,,R,R,I,S,,S,,,S
ERS357476,11679_6#38,ERR435329,Previously sequenced,2002,S,S,,R,S,I,S,,S,,,S
ERS357574,11679_6#39,ERR435330,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS356944,11679_6#3,ERR435294,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357582,11679_6#40,ERR435331,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357593,11679_6#41,ERR435332,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357597,11679_6#42,ERR435333,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357608,11679_6#43,ERR435334,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357615,11679_6#44,ERR435335,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357626,11679_6#45,ERR435336,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357628,11679_6#46,ERR435337,Previously sequenced,2005,S,S,,R,S,S,R,,S,,,R
ERS357630,11679_6#47,ERR435338,Previously sequenced,2005,S,S,,R,S,S,R,,S,,,R
ERS357643,11679_6#48,ERR435339,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357670,11679_6#49,ERR435340,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS356951,11679_6#4,ERR435295,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,R,R
ERS357698,11679_6#50,ERR435341,Previously sequenced,2007,S,S,,S,S,S,S,,I,,,R
ERS357732,11679_6#51,ERR435342,Previously sequenced,2007,S,S,,R,S,S,S,,R,,,S
ERS357733,11679_6#52,ERR435343,Previously sequenced,2008,S,S,,R,R,S,R,,S,,,S
ERS357752,11679_6#53,ERR435344,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357758,11679_6#54,ERR435345,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357761,11679_6#55,ERR435346,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357769,11679_6#56,ERR435347,Previously sequenced,2006,S,S,,R,R,I,S,,S,,,S
ERS357776,11679_6#57,ERR435348,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357782,11679_6#58,ERR435349,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357795,11679_6#59,ERR435350,Previously sequenced,2006,R,R,,R,R,R,R,,S,,,R
ERS356955,11679_6#5,ERR435296,Previously sequenced,2010,S,S,R,,R,S,R,R,S,S,S,S
ERS357810,11679_6#60,ERR435351,Previously sequenced,2006,S,S,,R,S,S,S,,I,,,S
ERS357833,11679_6#61,ERR435352,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS357842,11679_6#62,ERR435353,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357844,11679_6#63,ERR435354,Previously sequenced,2007,S,S,,R,S,S,S,,S,,,S
ERS357859,11679_6#64,ERR435355,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357864,11679_6#65,ERR435356,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357865,11679_6#66,ERR435357,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357868,11679_6#67,ERR435358,Previously sequenced,2008,S,S,,R,R,I,R,,S,,,S
ERS357873,11679_6#68,ERR435359,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357898,11679_6#69,ERR435360,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357919,11679_6#70,ERR435361,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357952,11679_6#71,ERR435362,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357954,11679_6#72,ERR435363,Previously sequenced,2009,R,R,,R,R,S,R,,S,,,S
ERS357982,11679_6#73,ERR435364,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358022,11679_6#74,ERR435365,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358045,11679_6#75,ERR435366,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358050,11679_6#76,ERR435367,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358056,11679_6#77,ERR435368,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358059,11679_6#78,ERR435369,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS358093,11679_6#79,ERR435370,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS357003,11679_6#7,ERR435298,Previously sequenced,2011,S,S,R,,R,S,S,I,R,R,R,I
